"","image_id","predefined_tags","people_n","ethnicities","sign_slogan_symbol","anger","fear","disgust","sadness","enthusiasm"
"1",117825,"",13,"Black","",9,10,10,10,9
"2",10535,"",3,"White, non-Hispanic","",7,10,9,7,9
"3",183709,"",2,"Black","",10,10,10,9,7
"4",128780,"Person who is injured",13,"Black","",10,9,10,8,7
"5",10848,"Political cartoon, Active police brutality",6,"Black, White, non-Hispanic","",9,9,10,9,1
"6",147400,"Screenshot (of Twitter or from news video, etc)",4,"Black","",10,9,10,6,9
"7",155128,"Political cartoon, Drawing/cartoon/painting, Police",3,"White, non-Hispanic","",7,9,10,8,8
"8",2049,"Political cartoon, Drawing/cartoon/painting, Active police brutality, Police",2,"Black, White, non-Hispanic","",9,9,9,7,8
"9",11049,"Just text block",0,"","",9,9,10,8,10
"10",34173,"Street protest, Advertisement for protest or BLM event, Police",120,"","protest slogan (e.g. black lives matter; hands up, don't shoot!)",7,8,5,6,7
"11",130068,"Police",22,"White, non-Hispanic","",2,8,4,6,4
"12",101803,"Screenshot (of Twitter or from news video, etc), Headshot, Headshot identified/identifiable as someone killed by police brutality",2,"Black, White, non-Hispanic","",6,8,7,9,6
"13",165187,"Political cartoon, Active police brutality, Police",2,"White, non-Hispanic","",7,8,8,7,7
"14",199190,"Political cartoon, Drawing/cartoon/painting",2,"White, non-Hispanic","",5,8,6,4,6
"15",462,"Active police brutality",2,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",7,8,8,8,4
"16",12256,"Active police brutality, Police",2,"Black, White, non-Hispanic","",6,8,7,6,5
"17",2049,"Political cartoon",2,"Black, White, non-Hispanic","",8,8,9,9,3
"18",177312,"Headshot",1,"Black","",5,8,7,7,5
"19",144854,"Picture of or including John Legend",1,"Black","",7,8,10,8,7
"20",167860,"Drawing/cartoon/painting",1,"Black","protest slogan (e.g. black lives matter; hands up, don't shoot!)",7,8,6,10,5
"21",40653,"Headshot identified/identifiable as someone killed by police brutality",1,"Black","",9,8,9,10,4
"22",4259,"Screenshot (of Twitter or from news video, etc)",1,"Black","",7,8,8,9,3
"23",2646,"Just text block",0,"","",6,8,8,9,7
"24",26862,"Just text block",0,"","",8,8,9,9,4
"25",194347,"Screenshot (of Twitter or from news video, etc)",0,"","",8,8,8,9,0
"26",4972,"Screenshot (of Twitter or from news video, etc)",0,"","",7,8,8,9,1
"27",37046,"Screenshot (of Twitter or from news video, etc)",0,"","",6,8,7,9,7
"28",134359,"Person who is injured",30,"Black, White, non-Hispanic","",10,7,10,10,7
"29",144912,"Police",21,"","",5,7,4,2,6
"30",150740,"Police",20,"Black, White, non-Hispanic","",6,7,7,8,3
"31",190695,"Police making arrest",16,"Black, White, non-Hispanic","",4,7,4,5,2
"32",190695,"Active police brutality, Police",16,"Black, White, non-Hispanic","",8,7,9,7,8
"33",155306,"Police, Police vehicles",12,"","",3,7,5,3,4
"34",155306,"Police, Police vehicles",10,"","",4,7,3,4,3
"35",117825,"Die-in",8,"Black","",8,7,9,10,4
"36",12383,"Street protest",7,"Black, White, non-Hispanic","protest sign",7,7,7,8,4
"37",187388,"Active police brutality, Police",6,"Black, White, non-Hispanic","",6,7,7,5,6
"38",10848,"Drawing/cartoon/painting",6,"Black, White, non-Hispanic","",10,7,10,8,9
"39",125054,"Political cartoon, Drawing/cartoon/painting",4,"Black, White, non-Hispanic","",4,7,8,6,6
"40",11072,"Political cartoon, Drawing/cartoon/painting",4,"White, non-Hispanic","",6,7,9,5,7
"41",2045,"Political cartoon, Drawing/cartoon/painting, Police",4,"White, non-Hispanic","",8,7,10,4,7
"42",139862,"Headshot",4,"Black, White, non-Hispanic","",10,7,10,8,10
"43",139862,"Just text block, Headshot",4,"Black, White, non-Hispanic","",7,7,8,8,2
"44",10535,"Active police brutality",3,"Black, White, non-Hispanic","",7,7,8,8,3
"45",101803,"Screenshot (of Twitter or from news video, etc)",2,"Black, White, non-Hispanic","symbol (e.g. flags, logos)",8,7,9,10,6
"46",128172,"Political cartoon",2,"Black, White, non-Hispanic","",6,7,8,7,6
"47",19516,"Headshot, Police",2,"Black, White, non-Hispanic","",6,7,6,5,6
"48",165753,"Police",2,"","",2,7,6,5,4
"49",7679,"Screenshot (of Twitter or from news video, etc)",2,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",7,7,8,9,3
"50",601,"Screenshot (of Twitter or from news video, etc), Active police brutality",2,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",6,7,8,8,4
"51",129798,"Headshot",1,"Black","",2,7,2,7,2
"52",102406,"Police, Police vehicles",1,"White, non-Hispanic","",8,7,9,3,9
"53",117711,"",1,"Black","symbol (e.g. flags, logos)",6,7,10,7,6
"54",76354,"Political cartoon, Drawing/cartoon/painting, Police",1,"White, non-Hispanic","",8,7,9,6,8
"55",4259,"Screenshot (of Twitter or from news video, etc)",1,"Black","",9,7,10,8,9
"56",117711,"",1,"Black","symbol (e.g. flags, logos)",8,7,8,9,1
"57",183709,"",1,"Black","",5,7,8,8,2
"58",76354,"Political cartoon",1,"White, non-Hispanic","",8,7,8,8,0
"59",83689,"Drawing/cartoon/painting",0,"","protest sign",9,7,10,5,10
"60",186757,"Just text block, Screenshot (of Twitter or from news video, etc)",0,"","",7,7,9,8,7
"61",8132,"Just text block, Screenshot (of Twitter or from news video, etc)",0,"","",10,7,10,9,9
"62",149299,"Just text block",0,"","",8,7,9,7,7
"63",5573,"",0,"","protest sign",8,7,7,8,7
"64",37046,"Screenshot (of Twitter or from news video, etc)",0,"","",6,7,7,7,3
"65",58230,"Police, Person who is injured",55,"Black, White, non-Hispanic","",0,6,2,7,3
"66",134359,"",32,"Black, White, non-Hispanic","",6,6,10,9,7
"67",45021,"Street protest, Police",30,"White, non-Hispanic","protest sign",3,6,3,0,4
"68",153238,"Police",17,"Black, White, non-Hispanic","",3,6,4,2,2
"69",166613,"Street protest, Police",16,"White, non-Hispanic","protest sign, symbol (e.g. flags, logos)",2,6,3,1,3
"70",140839,"Street protest, Police",8,"Black, White, non-Hispanic","",6,6,5,3,8
"71",134117,"Political cartoon, Police",4,"Black, White, non-Hispanic","",5,6,7,5,5
"72",36429,"Police making arrest, Police, Police vehicles",4,"White, non-Hispanic","",3,6,5,4,4
"73",36429,"Active police brutality, Police making arrest, Police, Police vehicles",4,"White, non-Hispanic","",7,6,7,7,3
"74",5537,"Active police brutality, Police",3,"Black, White, non-Hispanic","",7,6,8,7,6
"75",7760,"Police",3,"Black, White, non-Hispanic","",4,6,6,4,6
"76",421,"Political cartoon",2,"Black, White, non-Hispanic","",5,6,7,6,5
"77",120181,"Screenshot (of Twitter or from news video, etc)",2,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",7,6,8,8,4
"78",130155,"Political cartoon, Police, Person who is injured",2,"Black, White, non-Hispanic","",7,6,9,7,8
"79",158659,"Political cartoon, Drawing/cartoon/painting, Active police brutality",2,"Black, White, non-Hispanic","",6,6,7,6,6
"80",165753,"Active police brutality",2,"","",5,6,4,5,2
