"id","created_at","time_at","time_control","followers_count","friends_count","media_dummy","shutA14","retweet_n","anger","fear","disgust","sadness","enthusiasm","prev_tweets","retweet_new_shut_n","protest","symbol"
1,"2015-04-13","17:17:23","t5",3520,111,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2,"2015-04-13","17:17:24","t5",895,63,1,0,2,5,0,5,0,0,0,NA,0,0
3,"2015-04-13","17:17:26","t5",238,280,0,1,0,NA,NA,NA,NA,NA,0,0,NA,NA
9,"2015-04-13","17:17:34","t5",1797,2000,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
17,"2015-04-13","17:17:42","t5",30,63,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
19,"2015-04-13","17:17:51","t5",593,414,1,0,0,10,6,10,9,0,0,NA,0,0
21,"2015-04-13","17:17:52","t5",1603,95,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
25,"2015-04-13","17:17:54","t5",30,130,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
30,"2015-04-13","17:18:05","t5",2892,3015,1,0,0,0,0,0,0,0,0,NA,0,0
33,"2015-04-13","17:18:06","t5",11,42,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
34,"2015-04-13","17:18:07","t5",1322,605,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
38,"2015-04-13","17:18:23","t5",714,619,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
40,"2015-04-13","17:18:27","t5",203,174,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
45,"2015-04-13","17:18:41","t5",22,27,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
46,"2015-04-13","17:18:42","t5",312,330,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
48,"2015-04-13","17:18:48","t5",644,380,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA
49,"2015-04-13","17:18:49","t5",1038,959,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
50,"2015-04-13","17:18:49","t5",2806,3080,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA
52,"2015-04-13","17:18:53","t5",46,45,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
53,"2015-04-13","17:18:53","t5",14,62,1,0,0,0,0,0,0,0,0,NA,0,1
54,"2015-04-13","17:18:54","t5",3015,2093,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
55,"2015-04-13","17:18:57","t5",50,44,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
61,"2015-04-13","17:19:09","t5",834,1324,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
62,"2015-04-13","17:19:11","t5",168,38,1,0,0,0,0,0,0,0,0,NA,0,0
66,"2015-04-13","17:19:20","t5",3,30,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
68,"2015-04-13","17:19:23","t5",9389,6888,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
72,"2015-04-13","17:19:34","t5",302,635,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
73,"2015-04-13","17:19:34","t5",2641,2882,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
74,"2015-04-13","17:19:34","t5",969,1001,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA
79,"2015-04-13","17:19:39","t5",74,49,0,1,0,NA,NA,NA,NA,NA,0,0,NA,NA
81,"2015-04-13","17:19:40","t5",79,77,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
84,"2015-04-13","17:19:50","t5",574,98,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
88,"2015-04-13","17:20:01","t5",269,286,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
89,"2015-04-13","17:20:06","t5",1094,796,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
91,"2015-04-13","17:20:07","t5",82,201,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
94,"2015-04-13","17:20:12","t5",453,737,1,1,0,4,4,5,5,0,1,0,0,0
95,"2015-04-13","17:20:12","t5",16163,16013,1,0,22,5,3.33,6,6.67,2.67,0,NA,0,0
97,"2015-04-13","17:20:16","t5",51,35,1,0,0,0,0,0,0,0,0,NA,0,0
98,"2015-04-13","17:20:16","t5",254,413,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
103,"2015-04-13","17:20:30","t5",6273,6348,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA
105,"2015-04-13","17:20:33","t5",7130,6048,0,1,0,NA,NA,NA,NA,NA,0,0,NA,NA
