"topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic20"
"blacklivesmatter (0.595)","icantbreathe (0.165)","justice (0.04)","blacklivesmatter (0.752)","shutdowna14 (0.126)","a14 (0.135)","shutdowna14 (0.361)","cdcwhistleblower (0.113)","blacklivesmatter (0.224)","policebrutality (0.469)","blacklivesmatter (0.87)","blacklivesmatter (0.688)","blacklivesmatter (0.16)","ferguson (0.249)","blacklivesmatter (0.529)","blacklivesmatter (0.286)","blacklivesmatter (0.44)","blacklivesmatter (0.462)","blacklivesmatter (0.793)","shutdowna14 (0.443)"
"blacktwitter (0.118)","walterscott (0.107)","black (0.04)","alllivesmatter (0.039)","nyc (0.11)","blacklivesmatter (0.077)","blacklivesmatter (0.034)","california (0.098)","fightfor15 (0.094)","blacklivesmatter (0.042)","ericharris (0.01)","shutdowna14 (0.032)","police (0.099)","shutdowna14 (0.102)","selma (0.048)","massincarceration (0.084)","shutdowna14 (0.139)","blacktwitter (0.119)","shutdowna14 (0.073)","blacklivesmatter (0.174)"
"blackbusiness (0.079)","mikebrown (0.086)","policebrutality (0.038)","justice4tony (0.013)","blacklivesmatter (0.083)","ead2015 (0.026)","handsupdontshoot (0.031)","alllivesmatter (0.091)","nfl (0.068)","homeless (0.041)","blacktwitter (0.006)","blackbusiness (0.031)","walterscott (0.061)","walterscott (0.094)","ericharris (0.04)","shutdowna14 (0.065)","hiphop (0.046)","ericharris (0.08)","alllivesmatter (0.018)","oakland (0.06)"
"ericharris (0.014)","blacklivesmatter (0.084)","uniteblue (0.036)","populism2015 (0.012)","nypd (0.07)","truth (0.02)","ftp (0.029)","empirefox (0.072)","hireblackcoaches (0.066)","shockingvideo (0.04)","shutdowna14 (0.005)","blacktwitter (0.024)","shutdowna14 (0.036)","blacklivesmatter (0.092)","indiemusic (0.034)","stoptheviolence (0.056)","nojusticenopeace (0.041)","blackbusiness (0.039)","rutgers (0.004)","fuckyourbreath (0.031)"
"shutdowna14 (0.01)","ericgarner (0.083)","mlk (0.026)","iartg (0.008)","importantmusicalert (0.04)","walterscott (0.019)","nonewnypd (0.02)","usa (0.021)","tcot (0.049)","fortworth (0.04)","ferguson (0.004)","taniaharris (0.021)","policebrutality (0.031)","shutitdown (0.054)","trendingnow (0.033)","teamworkmakesthedreamwork (0.05)","march2justice (0.032)","blacktradelines (0.028)","blackchurch (0.004)","stoppolicebrutality (0.015)"
"selma (0.009)","freddiegray (0.046)","inspiring (0.021)","aera15 (0.007)","pressplay (0.036)","michaelslager (0.018)","race (0.016)","stopmassincarceration (0.019)","cmxd (0.021)","news (0.031)","bhm (0.003)","ferguson (0.011)","racism (0.028)","ericharris (0.016)","black365 (0.018)","blacklove (0.029)","thaddeusmccarroll (0.027)","tulsa (0.021)","ericharris (0.004)","stockton (0.014)"
"walterscott (0.009)","tamirrice (0.045)","cnn (0.017)","fergusontomadison (0.007)","protest (0.03)","justiceforkayleb (0.014)","brooklynbridge (0.016)","anonymous (0.017)","whitelivesmatter (0.018)","america (0.016)","truthatmason (0.003)","alllivesmatter (0.01)","bringbackourgirls (0.025)","shutitdowna14 (0.015)","shutdowna14 (0.013)","freeamerica (0.028)","handsupdontshoot (0.013)","robertbates (0.016)","selma (0.002)","wechargegenocide (0.012)"
"translivesmatter (0.007)","ferguson (0.042)","lgbt (0.016)","shutdowna14 (0.006)","bluelivesmatter (0.023)","alllivesmatter (0.013)","racist (0.015)","staywoke (0.016)","alllivesmatter (0.017)","racism (0.013)","walterscott (0.003)","ramarleygraham (0.007)","chicago (0.023)","portland (0.011)","alllivesmatter (0.01)","natashamckenna (0.023)","blackbusiness (0.011)","selma (0.016)","walterscott (0.002)","walterscott (0.008)"
"march2justice (0.006)","ericharris (0.037)","cleveland (0.014)","endpolicebrutality (0.004)","sanfrancisco (0.016)","racism (0.012)","cops (0.014)","a13 (0.013)","blackworkmatters (0.014)","humanrights (0.013)","alllivesmatter (0.002)","march2justice (0.007)","ericharris (0.018)","isis (0.011)","hiphop (0.006)","bringintheun (0.02)","thisstopstoday (0.011)","shutdowna14 (0.014)","justicefornick (0.002)","unionsquare (0.008)"
"bodycameras (0.005)","policestate (0.032)","love (0.012)","peopleplanet1st (0.003)","repost (0.014)","ows (0.012)","thisendstoday (0.014)","paris (0.013)","pjnet (0.011)","policereform (0.012)","theessenceofmen (0.002)","peoplesmonday (0.006)","dontshoot (0.016)","art (0.011)","letmypeoplego (0.006)","march2justice (0.018)","rap (0.011)","alllivesmatter (0.009)","aps (0.002)","brooklyn (0.007)"
"alllivesmatter (0.005)","trayvonmartin (0.031)","changetheworld (0.011)","blackbusiness (0.002)","a14shutdown (0.012)","ericharris (0.012)","share (0.013)","newyork (0.011)","policelivesmatter (0.01)","oppression (0.009)","black365 (0.002)","copslivesmatter (0.004)","music (0.01)","blackpeople (0.01)","policethepolice (0.006)","blackpower (0.018)","racism (0.008)","blackisbeautiful (0.009)","blackbrunch (0.002)","baltimore (0.007)"
"newjimcrow (0.003)","handsupdontshoot (0.012)","maddow (0.011)","ericharris (0.002)","muslimlivesmatter (0.012)","wakeup (0.011)","amerikkka (0.013)","anotherdaysong (0.01)","uncuffourcops (0.01)","inequality (0.008)","taniaharris (0.002)","fergtards (0.004)","michaelbrown (0.009)","stl (0.008)","mbiprivilege (0.005)","blackgirlsrock (0.017)","laquanmcdonald (0.007)","ontheway (0.006)","justice4tony (0.002)","alllivesmatter (0.006)"
"prisonindustrialcomplex (0.003)","mynypd (0.011)","lgbtq (0.011)","mothersvoices (0.002)","tonyrobinson (0.012)","brooklyn (0.011)","policebrutality (0.013)","deargod (0.01)","whiteprivilege (0.009)","terrorism (0.007)","handsupdontshoot (0.002)","ferguson2cal (0.003)","blacktwitter (0.009)","racism (0.008)","vote (0.004)","prospectcolorblind (0.013)","ferguson (0.006)","newvideo (0.006)","blacktwitter (0.002)","shamethisracist (0.006)"
"policebelike (0.003)","riseup (0.008)","equalrights (0.011)","feedly (0.002)","freedomfighters (0.011)","killercops (0.011)","stoppolicebrutality (0.013)","shutdowna14 (0.01)","blackunity (0.008)","policeviolence (0.006)","racism (0.001)","grandcentral (0.003)","video (0.008)","gunsense (0.008)","blackamerica (0.004)","ericharris (0.012)","blackwomen (0.006)","theillustration (0.006)","cesjsig (0.002)","selma50 (0.005)"
"reformjusticesystem (0.003)","jordanbaker (0.007)","rip (0.01)","blackpoetsspeakout (0.002)","ferguson (0.011)","saynotoxenophobia (0.01)","kendrickjohnson (0.013)","excessivecops (0.01)","walterscott (0.008)","blackculture (0.005)","freddiegray (0.001)","walterscott (0.003)","policekillings (0.008)","stolenlives (0.008)","shutitdownsf (0.003)","obama (0.012)","livestreaming (0.006)","newmusic (0.006)","ucberkeley (0.001)","selma (0.005)"
"videos (0.002)","liber8 (0.007)","foxnews (0.01)","yourlifematters (0.001)","revolution (0.01)","stopxenophobia (0.009)","chsnews (0.012)","equalpayday (0.009)","claimmalcolmxday (0.008)","morningjoe (0.004)","march2justice (0.001)","soundcloud (0.003)","retweeet (0.008)","newyorkcity (0.008)","missouri (0.003)","johnlegend (0.01)","alllivesmatter (0.005)","520promo (0.005)","justiceforfreddie (0.001)","jamesrivera (0.004)"
"executekillercops (0.002)","antoniomar (0.007)","pendejoalert (0.01)","policethepolice (0.001)","stowmarket (0.009)","africa (0.008)","racism (0.012)","tpsparcours (0.009)","whitesupremacy (0.007)","education (0.004)","twitterlivesmatter (0.001)","black365 (0.002)","iamwalterscott (0.006)","civilrights (0.008)","notoxenophobia (0.003)","brownlivesmatter (0.009)","blacktwitter (0.005)","walterscott (0.004)","ferguson (0.001)","xenophobiamustfall (0.004)"
"gentrification (0.002)","blackmen (0.007)","stopreligiouswars (0.01)","blackbusinesses (0.001)","chicago (0.009)","noboycottsnojustice (0.008)","acab (0.011)","blackhistory (0.009)","aaronhernandez (0.007)","follow (0.003)","fresheyes (0.001)","freddiegray (0.002)","freepinkney (0.006)","latinolivesmatter (0.007)","freddiegray (0.003)","injustice (0.006)","fire (0.004)","tulsapolice (0.004)","baltimore (0.001)","stopmurderbypolice (0.004)"
"mustsee (0.002)","ny11 (0.006)","smh (0.009)","whiteprivilege (0.001)","standup (0.009)","murder (0.007)","blackout (0.009)","equality (0.008)","southafrica (0.007)","stopkillingus (0.003)","fergusonhu (0.001)","ericharris (0.002)","blackbusiness (0.005)","blacklivesstillmatter (0.006)","walterscott (0.003)","whywemarch (0.005)","freethepress (0.004)","publichealth (0.003)","chicago (0.001)","ustream (0.003)"
"afrophobia (0.002)","kellythomas (0.004)","missing (0.008)","cannes2015 (0.001)","atlanta (0.008)","racismisnotajoke (0.007)","chicago (0.009)","wakeupamerica (0.008)","breakingchains (0.006)","life (0.003)","blackbusiness (0.001)","worcester (0.002)","activism (0.005)","africanamerican (0.006)","policebrutality (0.003)","law (0.004)","policebrutality (0.004)","freepinkney (0.003)","blm413 (0.001)","alexnieto (0.003)"
