"topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic20"
"cop (0.089)","min (0.022)","polic (0.057)","black (0.033)","amp (0.032)","black (0.054)","black (0.065)","live (0.061)","polic (0.021)","black (0.063)","black (0.077)","man (0.053)","nyc (0.021)","live (0.07)","black (0.058)","protest (0.084)","black (0.046)","end (0.129)","black (0.059)","via (0.02)"
"killer (0.035)","polic (0.02)","black (0.038)","polic (0.025)","black (0.026)","america (0.031)","polic (0.033)","matter (0.044)","matter (0.015)","matter (0.049)","live (0.076)","black (0.051)","protest (0.019)","protest (0.057)","live (0.058)","brooklyn (0.055)","polic (0.025)","mass (0.127)","live (0.056)","just (0.009)"
"black (0.032)","amp (0.015)","live (0.028)","murder (0.016)","cop (0.024)","matter (0.03)","matter (0.026)","amp (0.02)","protest (0.015)","live (0.027)","matter (0.044)","polic (0.045)","peopl (0.016)","matter (0.028)","matter (0.052)","bridg (0.053)","time (0.013)","john (0.122)","kill (0.025)","kill (0.008)"
"america (0.031)","matter (0.014)","murder (0.025)","live (0.015)","polic (0.022)","via (0.024)","amp (0.014)","polic (0.019)","stop (0.014)","cop (0.027)","incarcer (0.027)","video (0.026)","now (0.014)","via (0.017)","amp (0.025)","brutal (0.048)","peopl (0.01)","incarcer (0.121)","matter (0.023)","justic (0.007)"
"amp (0.022)","black (0.012)","racist (0.021)","kill (0.013)","matter (0.012)","mass (0.021)","via (0.01)","black (0.016)","will (0.014)","white (0.025)","mass (0.024)","shock (0.021)","get (0.013)","tell (0.013)","peopl (0.024)","polic (0.033)","live (0.009)","legend (0.109)","protest (0.022)","soon (0.007)"
"live (0.018)","one (0.01)","logic (0.016)","protest (0.012)","stop (0.012)","protest (0.017)","need (0.009)","sign (0.014)","like (0.013)","say (0.019)","via (0.019)","live (0.019)","arrest (0.013)","stolen (0.012)","say (0.022)","black (0.022)","see (0.008)","campaign (0.108)","stop (0.017)","want (0.006)"
"blood (0.016)","kill (0.01)","killer (0.015)","new (0.011)","peopl (0.012)","incarcer (0.015)","kill (0.009)","protest (0.013)","don (0.013)","don (0.014)","polic (0.016)","worth (0.018)","white (0.013)","citi (0.01)","protest (0.021)","live (0.022)","power (0.008)","launch (0.091)","cultur (0.015)","white (0.006)"
"privat (0.015)","time (0.009)","peopl (0.014)","word (0.007)","don (0.011)","judg (0.01)","live (0.009)","execut (0.012)","white (0.013)","dont (0.014)","peopl (0.016)","dog (0.016)","dozen (0.01)","say (0.009)","realli (0.014)","via (0.013)","messag (0.007)","free (0.038)","polit (0.014)","statement (0.006)"
"incarcer (0.015)","see (0.009)","support (0.011)","famili (0.007)","live (0.01)","white (0.009)","life (0.008)","stop (0.011)","black (0.012)","peopl (0.011)","terror (0.013)","homeless (0.015)","tell (0.01)","polic (0.009)","don (0.013)","arrest (0.012)","music (0.007)","break (0.013)","polic (0.011)","shut (0.006)"
"mass (0.014)","justic (0.008)","money (0.01)","good (0.006)","video (0.01)","peopl (0.009)","today (0.007)","one (0.011)","can (0.011)","stop (0.011)","say (0.013)","kill (0.014)","justic (0.01)","march (0.009)","complain (0.01)","barricad (0.01)","movement (0.007)","america (0.011)","just (0.01)","now (0.006)"
"money (0.014)","pour (0.008)","now (0.01)","citi (0.006)","kill (0.008)","new (0.009)","march (0.007)","urg (0.01)","shoot (0.011)","via (0.01)","track (0.011)","murder (0.014)","amp (0.009)","don (0.008)","murder (0.009)","amp (0.009)","watch (0.007)","announc (0.008)","say (0.009)","see (0.006)"
