"topic1","topic2","topic3","topic4","topic5"
"black (0.042)","matter (0.039)","live (0.043)","black (0.037)","black (0.031)"
"live (0.035)","polic (0.019)","black (0.041)","protest (0.035)","matter (0.028)"
"mass (0.023)","black (0.017)","polic (0.028)","live (0.024)","polic (0.02)"
"legend (0.019)","incarcer (0.013)","via (0.017)","polic (0.021)","protest (0.019)"
"incarcer (0.019)","john (0.012)","white (0.014)","legend (0.013)","amp (0.019)"
"end (0.019)","justic (0.01)","peopl (0.013)","matter (0.011)","stop (0.017)"
"campaign (0.018)","say (0.01)","murder (0.012)","murder (0.011)","live (0.017)"
"cop (0.018)","mass (0.01)","matter (0.011)","incarcer (0.01)","cop (0.015)"
"amp (0.017)","campaign (0.008)","bridg (0.009)","kill (0.008)","mass (0.014)"
"peopl (0.014)","kill (0.008)","now (0.008)","man (0.008)","john (0.013)"
"launch (0.014)","time (0.008)","shoot (0.008)","make (0.007)","peopl (0.012)"
"america (0.011)","don (0.008)","end (0.008)","via (0.006)","video (0.011)"
"via (0.01)","see (0.007)","incarcer (0.007)","citi (0.006)","don (0.009)"
"protest (0.01)","just (0.006)","killer (0.007)","end (0.006)","incarcer (0.008)"
"say (0.009)","brutal (0.006)","can (0.007)","launch (0.006)","right (0.006)"
"march (0.008)","live (0.006)","mass (0.007)","mass (0.006)","now (0.006)"
"need (0.006)","protest (0.006)","kill (0.006)","cop (0.006)","kill (0.006)"
"like (0.006)","arrest (0.006)","john (0.006)","new (0.005)","will (0.006)"
"white (0.006)","amp (0.005)","realli (0.006)","can (0.005)","get (0.005)"
"get (0.005)","today (0.005)","offic (0.006)","day (0.005)","end (0.005)"
